33.5,31.5,9.33333333333333
33.5,33.5,9.5
33.5,35.5,9.5
33.4285714285714,37.4285714285714,9.42857142857143
33.5,39.6666666666667,9.5
33.5,41.5,9.5
33.5,43.5,9.5
33.5,45.5,9.5
33.5,47.5,9.5
33.5,49.5,9.5
33.5,51.5,9.5
33.3333333333333,53.3333333333333,9.5
33.4285714285714,55.5714285714286,9.42857142857143
33.5,57.5,9.5
33.5,59.5,9.5
33.5,61.6666666666667,9.33333333333333
33.5,63.5,9.5
33.5,65.5,9.5
33.5,67.5,9.5
33.5714285714286,69.4285714285714,9.57142857142857
35,22,10
35.4285714285714,23.5714285714286,9.57142857142857
35.5,25.5,9.5
35.5,27.5,9.5
35.4285714285714,29.4285714285714,9.42857142857143
35.5714285714286,31.5714285714286,9.42857142857143
35.5,33.5,9.5
35.3333333333333,35.3333333333333,9.5
35.5,37.5,9.25
35.5,39.5,9.5
35.5,41.5,9.5
35.5,43.5,9.5
35.5,45.5,9.5
35.5,47.5,9.5
35.5,49.3333333333333,9.5
35.5,51.5,9.5
35.5,53.5,9.5
35.6666666666667,55.3333333333333,9.33333333333333
35.3333333333333,57.6666666666667,9.5
35.5,59.5,9.5
35.5,61.3333333333333,9.33333333333333
35.5,63.5,9.5
35.5,65.5,9.5
35.5,67.5,9.5
35.5,69.3333333333333,9.66666666666667
37.5,23.6666666666667,9.66666666666667
37.5,25.5,9.5
37.5,27.5,9.5
37.5,29.5,9.5
37.5,31.5,9.5
37.5,33.5,9.5
37.4285714285714,35.5714285714286,9.42857142857143
37.5,37.6666666666667,9.33333333333333
37.5,39.5,9.5
37.5,41.5,9.5
37.5,43.5,9.5
37.3333333333333,45.3333333333333,9.5
37.4285714285714,47.5714285714286,9.57142857142857
37.5,49.5,9.5
37.5,51.5,9.5
37.5,53.5,9.5
37.6,55.4,9.4
37.5714285714286,57.5714285714286,9.42857142857143
37.5,59.5,9.5
37.5,61.5,9.5
37.5,63.5,9.5
37.5,65.5,9.5
